dataset,method,metric,score
sce_umap_NeonatalCalvaria,limma,batch_entropy,0.482
sce_umap_NeonatalCalvaria,limma,cell_type_entropy,0.227
sce_umap_NeonatalCalvaria,logcounts,batch_entropy,0.146
sce_umap_NeonatalCalvaria,logcounts,cell_type_entropy,0.225
sce_umap_NeonatalCalvaria,mnncorrect,batch_entropy,0.3
sce_umap_NeonatalCalvaria,mnncorrect,cell_type_entropy,0.224
sce_umap_NeonatalCalvaria,scanorama,batch_entropy,0.634
sce_umap_NeonatalCalvaria,scanorama,cell_type_entropy,0.217
sce_umap_NeonatalCalvaria,seurat3,batch_entropy,0.695
sce_umap_NeonatalCalvaria,seurat3,cell_type_entropy,0.278
sce_umap_NeonatalMuscle,combat,batch_entropy,0.301
sce_umap_NeonatalMuscle,combat,cell_type_entropy,0.165
sce_umap_NeonatalMuscle,fastmnn,batch_entropy,0.388
sce_umap_NeonatalMuscle,fastmnn,cell_type_entropy,0.172
sce_umap_NeonatalMuscle,harmony,batch_entropy,0.57
sce_umap_NeonatalMuscle,harmony,cell_type_entropy,0.221
sce_umap_NeonatalMuscle,limma,batch_entropy,0.235
sce_umap_NeonatalMuscle,limma,cell_type_entropy,0.155
sce_umap_NeonatalMuscle,logcounts,batch_entropy,0.08
sce_umap_NeonatalMuscle,logcounts,cell_type_entropy,0.152
sce_umap_NeonatalMuscle,mnncorrect,batch_entropy,0.317
sce_umap_NeonatalMuscle,mnncorrect,cell_type_entropy,0.184
sce_umap_NeonatalMuscle,scanorama,batch_entropy,0.723
sce_umap_NeonatalMuscle,scanorama,cell_type_entropy,0.18
sce_umap_NeonatalMuscle,seurat3,batch_entropy,0.711
sce_umap_NeonatalMuscle,seurat3,cell_type_entropy,0.211
sce_umap_NeonatalRib,combat,batch_entropy,0.542
sce_umap_NeonatalRib,combat,cell_type_entropy,0.214
sce_umap_NeonatalRib,fastmnn,batch_entropy,0.64
sce_umap_NeonatalRib,fastmnn,cell_type_entropy,0.207
sce_umap_NeonatalRib,harmony,batch_entropy,0.809
sce_umap_NeonatalRib,harmony,cell_type_entropy,0.31
sce_umap_NeonatalRib,limma,batch_entropy,0.534
sce_umap_NeonatalRib,limma,cell_type_entropy,0.211
sce_umap_NeonatalRib,logcounts,batch_entropy,0.381
sce_umap_NeonatalRib,logcounts,cell_type_entropy,0.187
sce_umap_NeonatalRib,mnncorrect,batch_entropy,0.484
sce_umap_NeonatalRib,mnncorrect,cell_type_entropy,0.21
sce_umap_NeonatalRib,scanorama,batch_entropy,0.717
sce_umap_NeonatalRib,scanorama,cell_type_entropy,0.197
sce_umap_NeonatalRib,seurat3,batch_entropy,0.773
sce_umap_NeonatalRib,seurat3,cell_type_entropy,0.322
sce_umap_Ovary,combat,batch_entropy,0.479
sce_umap_Ovary,combat,cell_type_entropy,0.261
sce_umap_Ovary,fastmnn,batch_entropy,0.591
sce_umap_Ovary,fastmnn,cell_type_entropy,0.217
sce_umap_Ovary,harmony,batch_entropy,0.816
sce_umap_Ovary,harmony,cell_type_entropy,0.296
sce_umap_Ovary,limma,batch_entropy,0.595
sce_umap_Ovary,limma,cell_type_entropy,0.25
sce_umap_Ovary,logcounts,batch_entropy,0.052
sce_umap_Ovary,logcounts,cell_type_entropy,0.247
sce_umap_Ovary,mnncorrect,batch_entropy,0.193
sce_umap_Ovary,mnncorrect,cell_type_entropy,0.247
sce_umap_Ovary,scanorama,batch_entropy,0.639
sce_umap_Ovary,scanorama,cell_type_entropy,0.249
sce_umap_Ovary,seurat3,batch_entropy,0.727
sce_umap_Ovary,seurat3,cell_type_entropy,0.358
sce_umap_Placenta,combat,batch_entropy,0.428
sce_umap_Placenta,combat,cell_type_entropy,0.098
sce_umap_Placenta,fastmnn,batch_entropy,0.655
sce_umap_Placenta,fastmnn,cell_type_entropy,0.088
sce_umap_Placenta,harmony,batch_entropy,0.715
sce_umap_Placenta,harmony,cell_type_entropy,0.122
sce_umap_Placenta,limma,batch_entropy,0.332
sce_umap_Placenta,limma,cell_type_entropy,0.093
sce_umap_Placenta,logcounts,batch_entropy,0.338
sce_umap_Placenta,logcounts,cell_type_entropy,0.089
