method_id,dataset_id,metric_id,score
somde,zenodo_spatial_slidetags/slidetags/human_tonsil,correlation,0.2392
somde,zenodo_spatial_slidetags/slidetags/mouse_embryo,correlation,0.7029
spagcn,tenx_visium/post_xenium/human_colon_cancer,correlation,-0.2189
spagcn,tenx_visium/post_xenium/mouse_brain,correlation,0.3162
spagcn,tenx_visium/visium/human_brain_cancer,correlation,-0.2283
spagcn,tenx_visium/visium/human_breast_cancer_1,correlation,-0.0689
spagcn,tenx_visium/visium/human_breast_cancer_2,correlation,-0.0175
spagcn,tenx_visium/visium/human_cerebellum,correlation,-0.0454
spagcn,tenx_visium/visium/human_cervical_cancer,correlation,0.2596
spagcn,tenx_visium/visium/human_colorectal_cancer,correlation,-0.2587
spagcn,tenx_visium/visium/human_heart,correlation,-0.0497
spagcn,tenx_visium/visium/human_intestinal_cancer,correlation,0.24
spagcn,tenx_visium/visium/human_kidney,correlation,0.0802
spagcn,tenx_visium/visium/human_lung_cancer,correlation,0.0007
spagcn,tenx_visium/visium/human_lymph_node,correlation,-0.2629
spagcn,tenx_visium/visium/human_normal_prostate,correlation,0.257
spagcn,tenx_visium/visium/human_prostate_cancer,correlation,0.2536
spagcn,tenx_visium/visium/human_skin_melanoma,correlation,-0.0841
spagcn,tenx_visium/visium/mouse_brain_coronal,correlation,0.1065
spagcn,tenx_visium/visium/mouse_embryo,correlation,0.1559
spagcn,tenx_visium/visium/mouse_kidney_v1,correlation,0.0457
spagcn,tenx_visium/visium/mouse_olfactory_bulb,correlation,0.2546
spagcn,zenodo_spatial/dbitseq/mouse_e10_brain,correlation,0.0642
spagcn,zenodo_spatial/dbitseq/mouse_e10_eye,correlation,-0.0511
spagcn,zenodo_spatial/dbitseq/mouse_e10_whole_body,correlation,0.1818
spagcn,zenodo_spatial/dbitseq/mouse_e11_1,correlation,0.079
spagcn,zenodo_spatial/dbitseq/mouse_e11_2,correlation,-0.2665
spagcn,zenodo_spatial/dbitseq/mouse_e11_lower_body,correlation,-0.0726
spagcn,zenodo_spatial/merfish/human_cortex_1,correlation,-0.2231
spagcn,zenodo_spatial/merfish/human_cortex_2,correlation,0.1224
spagcn,zenodo_spatial/merfish/human_cortex_3,correlation,-0.1147
