source,tissue,dataset,type,cell_type,method,score
HCL,CordBlood,HCL_CordBlood,Broad Cell type,Monocyte FTL high,Claude-3.7,1
HCL,CordBlood,HCL_CordBlood,Broad Cell type,Monocyte FTL high,Claude-4.1,1
HCL,CordBlood,HCL_CordBlood,Broad Cell type,Monocyte FTL high,DeepSeek-R1,1
HCL,CordBlood,HCL_CordBlood,Broad Cell type,Monocyte FTL high,Doubao-1.6,1
HCL,CordBlood,HCL_CordBlood,Broad Cell type,Monocyte FTL high,Gemini-2.0,1
HCL,CordBlood,HCL_CordBlood,Broad Cell type,Monocyte FTL high,Gemini-2.5,1
HCL,CordBlood,HCL_CordBlood,Broad Cell type,Monocyte FTL high,GPT-4o,1
HCL,CordBlood,HCL_CordBlood,Broad Cell type,Monocyte FTL high,GPT-5,1
HCL,CordBlood,HCL_CordBlood,Broad Cell type,Monocyte FTL high,Grok-3,1
HCL,CordBlood,HCL_CordBlood,Broad Cell type,Monocyte FTL high,Grok-4,1
HCL,CordBlood,HCL_CordBlood,Broad Cell type,Monocyte FTL high,Kimi-k2,1
HCL,CordBlood,HCL_CordBlood,Broad Cell type,Monocyte FTL high,CellMarker2.0,0
HCL,CordBlood,HCL_CordBlood,Broad Cell type,Monocyte FTL high,ScType,0.5
HCL,CordBlood,HCL_CordBlood,Broad Cell type,Monocyte FTL high,SingleR,0.5
HCL,CordBlood,HCL_CordBlood,Broad Cell type,Neutrophil,Claude-3.7,1
HCL,CordBlood,HCL_CordBlood,Broad Cell type,Neutrophil,Claude-4.1,1
HCL,CordBlood,HCL_CordBlood,Broad Cell type,Neutrophil,DeepSeek-R1,1
HCL,CordBlood,HCL_CordBlood,Broad Cell type,Neutrophil,Doubao-1.6,1
HCL,CordBlood,HCL_CordBlood,Broad Cell type,Neutrophil,Gemini-2.0,1
HCL,CordBlood,HCL_CordBlood,Broad Cell type,Neutrophil,Gemini-2.5,0.5
HCL,CordBlood,HCL_CordBlood,Broad Cell type,Neutrophil,GPT-4o,1
HCL,CordBlood,HCL_CordBlood,Broad Cell type,Neutrophil,GPT-5,1
HCL,CordBlood,HCL_CordBlood,Broad Cell type,Neutrophil,Grok-3,1
HCL,CordBlood,HCL_CordBlood,Broad Cell type,Neutrophil,Grok-4,1
HCL,CordBlood,HCL_CordBlood,Broad Cell type,Neutrophil,Kimi-k2,1
HCL,CordBlood,HCL_CordBlood,Broad Cell type,Neutrophil,CellMarker2.0,0.5
HCL,CordBlood,HCL_CordBlood,Broad Cell type,Neutrophil,ScType,1
HCL,CordBlood,HCL_CordBlood,Broad Cell type,Neutrophil,SingleR,0.5
HCL,CordBlood,HCL_CordBlood,Broad Cell type,Plasmacytoid dendritic cell,Claude-3.7,0.5
HCL,CordBlood,HCL_CordBlood,Broad Cell type,Plasmacytoid dendritic cell,Claude-4.1,1
HCL,CordBlood,HCL_CordBlood,Broad Cell type,Plasmacytoid dendritic cell,DeepSeek-R1,1
HCL,CordBlood,HCL_CordBlood,Broad Cell type,Plasmacytoid dendritic cell,Doubao-1.6,0.5
HCL,CordBlood,HCL_CordBlood,Broad Cell type,Plasmacytoid dendritic cell,Gemini-2.0,0.5
HCL,CordBlood,HCL_CordBlood,Broad Cell type,Plasmacytoid dendritic cell,Gemini-2.5,0.5
HCL,CordBlood,HCL_CordBlood,Broad Cell type,Plasmacytoid dendritic cell,GPT-4o,1
HCL,CordBlood,HCL_CordBlood,Broad Cell type,Plasmacytoid dendritic cell,GPT-5,1
HCL,CordBlood,HCL_CordBlood,Broad Cell type,Plasmacytoid dendritic cell,Grok-3,0.5
HCL,CordBlood,HCL_CordBlood,Broad Cell type,Plasmacytoid dendritic cell,Grok-4,1
HCL,CordBlood,HCL_CordBlood,Broad Cell type,Plasmacytoid dendritic cell,Kimi-k2,0.5
HCL,CordBlood,HCL_CordBlood,Broad Cell type,Plasmacytoid dendritic cell,CellMarker2.0,1
HCL,CordBlood,HCL_CordBlood,Broad Cell type,Plasmacytoid dendritic cell,ScType,0.5
HCL,CordBlood,HCL_CordBlood,Broad Cell type,Plasmacytoid dendritic cell,SingleR,0.5
HCL,CordBlood,HCL_CordBlood,Broad Cell type,T cell,Claude-3.7,1
HCL,CordBlood,HCL_CordBlood,Broad Cell type,T cell,Claude-4.1,1
HCL,CordBlood,HCL_CordBlood,Broad Cell type,T cell,DeepSeek-R1,1
HCL,CordBlood,HCL_CordBlood,Broad Cell type,T cell,Doubao-1.6,1
HCL,CordBlood,HCL_CordBlood,Broad Cell type,T cell,Gemini-2.0,1
HCL,CordBlood,HCL_CordBlood,Broad Cell type,T cell,Gemini-2.5,1
HCL,CordBlood,HCL_CordBlood,Broad Cell type,T cell,GPT-4o,1
HCL,CordBlood,HCL_CordBlood,Broad Cell type,T cell,GPT-5,1
HCL,CordBlood,HCL_CordBlood,Broad Cell type,T cell,Grok-3,1
HCL,CordBlood,HCL_CordBlood,Broad Cell type,T cell,Grok-4,1
HCL,CordBlood,HCL_CordBlood,Broad Cell type,T cell,Kimi-k2,1
HCL,CordBlood,HCL_CordBlood,Broad Cell type,T cell,CellMarker2.0,0
HCL,CordBlood,HCL_CordBlood,Broad Cell type,T cell,ScType,1
HCL,CordBlood,HCL_CordBlood,Broad Cell type,T cell,SingleR,0.5
HCL,Spleen,HCL_Spleen,Broad Cell type,B cell,Claude-3.7,0.5
HCL,Spleen,HCL_Spleen,Broad Cell type,B cell,Claude-4.1,0.5
HCL,Spleen,HCL_Spleen,Broad Cell type,B cell,DeepSeek-R1,0.5
