dataset,scenario,method,metric,score
bct,randomly_missing_50,ItClust,lisi_b,0.493723
bct,randomly_missing_50,ItClust,lisi_c,0.910042
bct,randomly_missing_50,ItClust,lisi_f1,0.640148
bct,randomly_missing_50,ItClust,pos_rate,0.93092
bct,randomly_missing_50,ItClust,truepos_rate,0.784757
bct,randomly_missing_50,STACAS,ARI_cluster/label,0.99059
bct,randomly_missing_50,STACAS,ASW_label,0.685609
bct,randomly_missing_50,STACAS,ASW_label/batch,0.876285
bct,randomly_missing_50,STACAS,NMI_cluster/label,0.978273
bct,randomly_missing_50,STACAS,graph_conn,1
bct,randomly_missing_50,STACAS,isolated_label_F1,0.996242
bct,randomly_missing_50,STACAS,isolated_label_silhouette,0.675469
bct,randomly_missing_50,STACAS,kBET,0.0262967
bct,randomly_missing_50,STACAS,lisi_b,0.0916914
bct,randomly_missing_50,STACAS,lisi_c,0.996838
bct,randomly_missing_50,STACAS,lisi_f1,0.167936
bct,randomly_missing_50,STACAS,pos_rate,0.996346
bct,randomly_missing_50,STACAS,truepos_rate,0.0306247
bct,randomly_missing_50,scANVI,ARI_cluster/label,0.973793
bct,randomly_missing_50,scANVI,ASW_label,0.585865
bct,randomly_missing_50,scANVI,ASW_label/batch,0.9572
bct,randomly_missing_50,scANVI,NMI_cluster/label,0.949706
bct,randomly_missing_50,scANVI,graph_conn,1
bct,randomly_missing_50,scANVI,isolated_label_F1,0.990736
bct,randomly_missing_50,scANVI,isolated_label_silhouette,0.589085
bct,randomly_missing_50,scANVI,kBET,0.211966
bct,randomly_missing_50,scANVI,lisi_b,0.306985
bct,randomly_missing_50,scANVI,lisi_c,0.988879
bct,randomly_missing_50,scANVI,lisi_f1,0.468523
bct,randomly_missing_50,scANVI,pos_rate,0.994954
bct,randomly_missing_50,scANVI,truepos_rate,0.345224
bct,randomly_missing_50,scDREAMER,ARI_cluster/label,0.635055
bct,randomly_missing_50,scDREAMER,ASW_label,0.734104
bct,randomly_missing_50,scDREAMER,ASW_label/batch,0.939064
bct,randomly_missing_50,scDREAMER,NMI_cluster/label,0.771985
bct,randomly_missing_50,scDREAMER,graph_conn,0.999776
bct,randomly_missing_50,scDREAMER,isolated_label_F1,0.779149
bct,randomly_missing_50,scDREAMER,isolated_label_silhouette,0.728411
bct,randomly_missing_50,scDREAMER,kBET,0.390234
bct,randomly_missing_50,scDREAMER,lisi_b,0.365587
bct,randomly_missing_50,scDREAMER,lisi_c,0.995348
bct,randomly_missing_50,scDREAMER,lisi_f1,0.534759
bct,randomly_missing_50,scDREAMER,pos_rate,0.996346
bct,randomly_missing_50,scDREAMER,truepos_rate,0.572473
bct,randomly_missing_50,scGEN,ARI_cluster/label,0.977304
bct,randomly_missing_50,scGEN,ASW_label,0.64453
bct,randomly_missing_50,scGEN,ASW_label/batch,0.86694
bct,randomly_missing_50,scGEN,NMI_cluster/label,0.956523
bct,randomly_missing_50,scGEN,graph_conn,0.999552
bct,randomly_missing_50,scGEN,isolated_label_F1,0.991493
bct,randomly_missing_50,scGEN,isolated_label_silhouette,0.636369
bct,randomly_missing_50,scGEN,kBET,0.147995
bct,randomly_missing_50,scGEN,lisi_b,0.183504
bct,randomly_missing_50,scGEN,lisi_c,0.992814
bct,randomly_missing_50,scGEN,lisi_f1,0.309755
bct,randomly_missing_50,scGEN,pos_rate,0.993562
bct,randomly_missing_50,scGEN,truepos_rate,0.215591
bct,randomly_missing_70,ItClust,ARI_cluster/label,0.381155
bct,randomly_missing_70,ItClust,ASW_label,0.548264
bct,randomly_missing_70,ItClust,ASW_label/batch,0.896215
bct,randomly_missing_70,ItClust,NMI_cluster/label,0.510052
bct,randomly_missing_70,ItClust,graph_conn,0.773027
bct,randomly_missing_70,ItClust,isolated_label_F1,0.636681
bct,randomly_missing_70,ItClust,isolated_label_silhouette,0.539852
bct,randomly_missing_70,ItClust,kBET,0.578955
bct,randomly_missing_70,ItClust,lisi_b,0.466149
bct,randomly_missing_70,ItClust,lisi_c,0.908284
bct,randomly_missing_70,ItClust,lisi_f1,0.616102
bct,randomly_missing_70,ItClust,pos_rate,0.91961
bct,randomly_missing_70,ItClust,truepos_rate,0.652688
bct,randomly_missing_70,STACAS,ARI_cluster/label,0.990574
bct,randomly_missing_70,STACAS,ASW_label,0.684957
bct,randomly_missing_70,STACAS,ASW_label/batch,0.874057
bct,randomly_missing_70,STACAS,NMI_cluster/label,0.977762
bct,randomly_missing_70,STACAS,graph_conn,1
bct,randomly_missing_70,STACAS,isolated_label_F1,0.952341
bct,randomly_missing_70,STACAS,isolated_label_silhouette,0.674769
bct,randomly_missing_70,STACAS,kBET,0.026968
bct,randomly_missing_70,STACAS,lisi_b,0.0922893
bct,randomly_missing_70,STACAS,lisi_c,0.996867
bct,randomly_missing_70,STACAS,lisi_f1,0.168938
bct,randomly_missing_70,STACAS,pos_rate,0.996346
bct,randomly_missing_70,STACAS,truepos_rate,0.0313207
bct,randomly_missing_70,scANVI,ARI_cluster/label,0.97631
bct,randomly_missing_70,scANVI,ASW_label,0.582628
bct,randomly_missing_70,scANVI,ASW_label/batch,0.958171
bct,randomly_missing_70,scANVI,NMI_cluster/label,0.949878
bct,randomly_missing_70,scANVI,graph_conn,1
bct,randomly_missing_70,scANVI,isolated_label_F1,0.990176
