method_id,dataset_id,metric_id,score
bbknn,cellxgene_census/mouse_pancreas_atlas,isolated_label_f1,0.0779
bbknn,cellxgene_census/mouse_pancreas_atlas,kbet,
bbknn,cellxgene_census/mouse_pancreas_atlas,nmi,0.8116
bbknn,cellxgene_census/mouse_pancreas_atlas,pcr,
bbknn,cellxgene_census/tabula_sapiens,ari,0.4526
bbknn,cellxgene_census/tabula_sapiens,asw_batch,
bbknn,cellxgene_census/tabula_sapiens,asw_label,
bbknn,cellxgene_census/tabula_sapiens,cell_cycle_conservation,
bbknn,cellxgene_census/tabula_sapiens,clisi,0.9808
bbknn,cellxgene_census/tabula_sapiens,graph_connectivity,0.8418
bbknn,cellxgene_census/tabula_sapiens,hvg_overlap,
bbknn,cellxgene_census/tabula_sapiens,ilisi,0.136
bbknn,cellxgene_census/tabula_sapiens,isolated_label_asw,
bbknn,cellxgene_census/tabula_sapiens,isolated_label_f1,0.0293
bbknn,cellxgene_census/tabula_sapiens,kbet,
bbknn,cellxgene_census/tabula_sapiens,nmi,0.7223
bbknn,cellxgene_census/tabula_sapiens,pcr,
combat,cellxgene_census/dkd,ari,0.7673
combat,cellxgene_census/dkd,asw_batch,0.9123
combat,cellxgene_census/dkd,asw_label,0.613
combat,cellxgene_census/dkd,cell_cycle_conservation,0.7925
combat,cellxgene_census/dkd,clisi,0.9997
combat,cellxgene_census/dkd,graph_connectivity,0.9728
combat,cellxgene_census/dkd,hvg_overlap,0.6649
combat,cellxgene_census/dkd,ilisi,0.1644
combat,cellxgene_census/dkd,isolated_label_asw,
combat,cellxgene_census/dkd,isolated_label_f1,
combat,cellxgene_census/dkd,kbet,0.1687
combat,cellxgene_census/dkd,nmi,0.8306
combat,cellxgene_census/dkd,pcr,0.9998
combat,cellxgene_census/gtex_v9,ari,0.5976
combat,cellxgene_census/gtex_v9,asw_batch,0.8584
combat,cellxgene_census/gtex_v9,asw_label,0.5014
combat,cellxgene_census/gtex_v9,cell_cycle_conservation,0.8044
combat,cellxgene_census/gtex_v9,clisi,0.9993
combat,cellxgene_census/gtex_v9,graph_connectivity,0.9436
combat,cellxgene_census/gtex_v9,hvg_overlap,0.5255
combat,cellxgene_census/gtex_v9,ilisi,0.0129
combat,cellxgene_census/gtex_v9,isolated_label_asw,0.6147
combat,cellxgene_census/gtex_v9,isolated_label_f1,0.1021
combat,cellxgene_census/gtex_v9,kbet,0.2076
combat,cellxgene_census/gtex_v9,nmi,0.7829
combat,cellxgene_census/gtex_v9,pcr,1
combat,cellxgene_census/hypomap,ari,0.2244
combat,cellxgene_census/hypomap,asw_batch,0.8688
combat,cellxgene_census/hypomap,asw_label,0.6107
combat,cellxgene_census/hypomap,cell_cycle_conservation,0.7374
combat,cellxgene_census/hypomap,clisi,1
combat,cellxgene_census/hypomap,graph_connectivity,0.9141
combat,cellxgene_census/hypomap,hvg_overlap,0.5648
combat,cellxgene_census/hypomap,ilisi,9.6541e-18
combat,cellxgene_census/hypomap,isolated_label_asw,0.3258
combat,cellxgene_census/hypomap,isolated_label_f1,0.0043
combat,cellxgene_census/hypomap,kbet,
combat,cellxgene_census/hypomap,nmi,0.5945
combat,cellxgene_census/hypomap,pcr,0.9996
combat,cellxgene_census/immune_cell_atlas,ari,0.3945
combat,cellxgene_census/immune_cell_atlas,asw_batch,0.8977
combat,cellxgene_census/immune_cell_atlas,asw_label,0.5435
combat,cellxgene_census/immune_cell_atlas,cell_cycle_conservation,0.723
combat,cellxgene_census/immune_cell_atlas,clisi,0.9949
combat,cellxgene_census/immune_cell_atlas,graph_connectivity,0.9692
combat,cellxgene_census/immune_cell_atlas,hvg_overlap,0.72
combat,cellxgene_census/immune_cell_atlas,ilisi,0.0334
combat,cellxgene_census/immune_cell_atlas,isolated_label_asw,0.5798
combat,cellxgene_census/immune_cell_atlas,isolated_label_f1,0.0283
combat,cellxgene_census/immune_cell_atlas,kbet,0.1333
combat,cellxgene_census/immune_cell_atlas,nmi,0.6905
combat,cellxgene_census/immune_cell_atlas,pcr,1
